filename,artist_name,art_description,artist_link
Yayay.PNG,Yayay0827 ,"Dream has been a huge inspiration in my life for the past 4�C5 years. From high school to college, he has been my favorite content creator, and always will be. I hope he has a wonderful birthday, and I look forward to all the upcoming content he has prepared for us!",https://x.com/dPdPdl0827
ray.png,Fuzzypeachx,"This art is Dream having a fun little birthday party with a cake I decorated based on the Dream Team!
",https://x.com/Fuzzypeachx?t=VU7oGYbyha9A40kKtoVHpg&s=09
ash.png,AshDoesDraw_,"For the message: there wasn��t really anything specific that inspired the piece, however, I wanted to include dream, dreamteam, minecraft and the blob all into one piece that celebrates dream day. It��s a few of my favourite things united through an artwork that I��m really proud of. Happy birthday, Dream",https://x.com/ashdoesdraw_?s=21
HokusNotTaken2.png,HokusNotTaken,"I had recently discovered my talent in drawing food and wanted to show that off once more, while also keeping this birthday themed. I guess I could say making this was a piece of cake ;]",https://x.com/HokusNotTaken?t=CzgVwnsgLr_5nL704LEuXw&s=09
HokusNotTaken.png,HokusNotTaken,"For this piece I wanted to play around with colors, making the backround and the character very distinct from each other. Since the backround is green, I chose to make Dream and the balloons the opposite color - red :]",https://x.com/HokusNotTaken?t=CzgVwnsgLr_5nL704LEuXw&s=09
YNKATcj.png,YNKATcj,"Multiple projects and identities, but only one man",https://x.com/lynkatcj?s=21&t=UfjJ-MyQwaNifZRW5rvs3w
